,XGB_AUC,XGB_MCC,XGB-ghost_MCC,XGB-FN_AUC,XGB-FN_MCC,XGB-FN-ghost_AUC,XGB-FN-ghost_MCC,DNN-MT_AUC,DNN-MT_MCC,DNN-MT-ghost_MCC,Macau_AUC,Macau_MCC,Macau-ghost_MCC
BSK_LPS_IL1a_down,0.6900757575757577,0.23210354127426377,0.2522724886624979,0.975,0.8208287461511629,0.9740909090909091,0.8003127226534416,0.9489015151515151,0.6324954585216443,0.6461541236540641,0.9799242424242425,0.8208287461511629,0.7923733776466385
BSK_LPS_IL8_down,0.7606540396567032,0.3156482851568718,0.31000614177587804,0.9680378810298905,0.7962733927108819,0.9675939627108612,0.7529329419321026,0.9317845516424977,0.5950011009563986,0.658029060341353,0.9726250369931932,0.7857819541399751,0.7651452009469564
BSK_LPS_MCP1_down,0.7283666154633897,0.2539751501569885,0.25465819914925236,0.9768853778070368,0.7896215775084667,0.97088727964304,0.7519290316685732,0.9586350669299978,0.6956447464868265,0.685903707171301,0.9780557384244021,0.7884295975059414,0.8375365004818791
BSK_LPS_MCSF_down,0.7044490163302045,0.1442083064442572,0.21136334133937001,0.9648321975054648,0.8141873509440796,0.9697826925549698,0.7615217852139826,0.9137842355664137,0.6986948107449121,0.6731193726926364,0.9762119069049762,0.8084493932155917,0.8060562100757326
BSK_LPS_PGE2_down,0.760950605778192,0.4035609882989776,0.37900804130154453,0.8769027648337993,0.4331033036388548,0.8608263435849643,0.4868470303540139,0.7676296986641814,0.3176172488256065,0.2980514672658075,0.8210624417520969,0.387129956978418,0.43228072776771603
BSK_LPS_PGE2_up,0.7481347045775357,0.14574072178304742,0.2550821078864538,0.8905021173623715,0.38571292852832534,0.8659003831417624,0.4337033867197959,0.6616253276870336,0.0,0.03469644717582888,0.7707199032062916,0.0,0.22869313301967448
BSK_LPS_SRB_down,0.7275825557540864,0.26749990358395526,0.2958920653782085,0.965389451393025,0.8147045198861756,0.9617497187479321,0.8155315888871276,0.9414664813711866,0.7301315810093086,0.6712383894616345,0.9704189001389715,0.8209000366483465,0.7756184467348877
BSK_LPS_TNFa_down,0.7305990200727043,0.23522218149066607,0.2181663843968218,0.9374110953058322,0.759909756888473,0.9340919867235656,0.6855219174256914,0.8641141141141141,0.49457064912820675,0.5144144315108836,0.9340919867235657,0.6852232650557988,0.6425439193600458
BSK_LPS_TNFa_up,0.5020125786163522,0.25163740958377206,0.014243626957572005,0.6953459119496855,-0.014243626957572005,0.5916981132075472,0.2074540047667624,0.6222641509433963,0.0,0.06837319749006249,0.628930817610063,0.0,0.09305237507877545
BSK_LPS_TissueFactor_down,0.6798587885544407,0.14412887198627605,0.18795235288902806,0.961352657004831,0.7705810461656859,0.9650687476774433,0.7597382351164367,0.9528056484578225,0.5371963731368643,0.6370293491480254,0.9667409884801189,0.8270331810595213,0.7572843329690961
BSK_LPS_TissueFactor_up,0.8337037037037036,0.0,0.06666666666666667,0.9414814814814815,0.46336536457127725,0.9422222222222223,0.5554504049789895,0.8077777777777778,0.0,0.15600047760988292,0.93,0.0,0.4509836398210509
BSK_LPS_VCAM1_down,0.7133481179573244,0.27780246023014277,0.3461342586247583,0.9786621913210262,0.8153919923279789,0.9754854950851115,0.8290559471689826,0.9501918005274514,0.6900219409955288,0.6970904849772731,0.9838168304962839,0.8304535734626886,0.8411095993134777
BSK_SAg_CD38_down,0.6956065691680652,0.2875573338782667,0.26440743608312856,0.9820786382162551,0.7695746303960311,0.9788420043155119,0.8016236445138598,0.9451270678494366,0.6929038026256741,0.705937723828553,0.9812395109086549,0.8128080442555433,0.8363922876427612
BSK_SAg_CD40_down,0.720360824742268,0.2709996095976086,0.31728447918428987,0.9691920402781109,0.7684693431159454,0.9691321026132822,0.7636030296100829,0.9218712538959482,0.7277575158937218,0.7139908249163833,0.9762047470630544,0.7909226364335714,0.8218799757676168
BSK_SAg_CD69_down,0.7372630518294603,0.3332157739191419,0.3730494122221041,0.9698343724415895,0.8076356937239997,0.9706530637949493,0.7844711569500025,0.9392908873354746,0.7074103300171346,0.7550851892241599,0.967693179671264,0.7980232521055951,0.8331984669454043
BSK_SAg_Eselectin_down,0.6961080672586435,0.37666537212216444,0.2318596399446698,0.9443919642294856,0.7644046770922015,0.9340008816676113,0.6390263134270296,0.8776056426727125,0.6511017898082626,0.6223577563590804,0.9313558788336797,0.7264300637396706,0.7108371701449756
BSK_SAg_IL8_down,0.7285623767952689,0.16629420164149827,0.22424906985603085,0.9890171782596451,0.8811038808511015,0.9908476485497043,0.8810840661415238,0.9399112925936356,0.6320867872098858,0.6736270992598562,0.9830329484652212,0.8519680592792747,0.8622369869071846
BSK_SAg_MCP1_down,0.7156821526171957,0.14730212993184422,0.3342751128893946,0.9760353163758672,0.812689178943486,0.9701492537313432,0.7728296758022012,0.9452385957536262,0.7238772797293936,0.6929873819355465,0.9712003363464368,0.7732450863617255,0.7571196408972541
BSK_SAg_MIG_down,0.6992907801418439,0.06955156446332597,0.17633291461960554,0.980047281323877,0.8069470450831374,0.9838297872340425,0.8294997092378842,0.964160756501182,0.6477016339074924,0.6912444817761737,0.983451536643026,0.8089702238955162,0.7626980636649509
BSK_SAg_PBMCCytotoxicity_down,0.6537561261063565,0.20064831859615037,0.128087586960747,0.9505522639163193,0.725899594118409,0.9446273132909078,0.6881288137377047,0.9170872650135323,0.6244790435214223,0.5517313730271767,0.9613780996269475,0.7760036757944524,0.7005562317114783
BSK_SAg_PBMCCytotoxicity_up,0.5887486573576799,-0.01373476072383882,0.11327216746620856,0.7819548872180452,0.13529184177106476,0.7532223415682063,0.2165408787114111,0.6169441460794844,0.0,0.08383204236554335,0.719656283566058,0.2609604537529376,0.275790487224493
BSK_SAg_Proliferation_down,0.6585026737967915,0.19968076595771794,0.2291775380926199,0.949197860962567,0.7510790926196872,0.9462566844919786,0.7715285746861977,0.9088770053475936,0.6256918412843053,0.6123437094175709,0.9649732620320856,0.7817393003181472,0.8042986010924207
BSK_SAg_SRB_down,0.6857941909832199,0.1696353772498218,0.27036164334734486,0.9731787856324551,0.8275708138086052,0.9635420176561762,0.8318873958691425,0.9075072444234786,0.6280398096582308,0.623452510324389,0.9743244153918728,0.776241047800504,0.7837685541703895
BSK_hDFCGF_CollagenIII_down,0.7450272892662219,0.33456472007697097,0.38050925709010813,0.9565191024863553,0.8019095846208805,0.9502728926622195,0.7229575057441481,0.924287446937538,0.669004704656277,0.6049387940746721,0.9543359611885992,0.7852986428947519,0.712953886507948
BSK_hDFCGF_EGFR_down,0.6458963500705788,0.14574072178304742,0.08313482932504171,0.9352692075015123,0.32652148857620966,0.9239766081871346,0.43645169837469083,0.9245815688646903,0.2218918502532901,0.4219937465506975,0.9219600725952813,0.1118527450912733,0.454339284200354
BSK_hDFCGF_EGFR_up,0.5754042288557214,0.0,0.12935323383084577,0.8557213930348258,0.0,0.8417288557213931,0.23777195860045888,0.8552549751243781,0.0,0.26969563682430614,0.8600746268656716,0.0,0.27020166365996773
BSK_hDFCGF_IL8_down,0.7211656100544989,0.30108905896267557,0.23249527748763857,0.9812034256478701,0.744845981580768,0.9740851963074185,0.7267608419680001,0.9417194972750529,0.5695695695695696,0.6716883018459324,0.9826493159826493,0.8481696158562175,0.763971803790068
BSK_hDFCGF_IP10_down,0.699748743718593,0.25616667735784776,0.2707364219410162,0.9457286432160804,0.7335980775526427,0.9355527638190955,0.6482523792123999,0.8899497487437186,0.6041900710819382,0.5814021584634529,0.9460427135678392,0.7852696732268177,0.7414374220563434
BSK_hDFCGF_MCSF_down,0.6869974874371858,0.316562332772541,0.2860194180544639,0.9687814070351759,0.8435717426197138,0.9602386934673367,0.7592623920742733,0.9331030150753769,0.6652541816403381,0.6122546236169392,0.9717964824120604,0.8105465979533516,0.7353592045412786
BSK_hDFCGF_MIG_down,0.6545511761466446,0.14136712509119945,0.16291953425522404,0.9874124773817954,0.8479911275169111,0.984658956809063,0.810862238638486,0.9376917630398868,0.6408554902940807,0.6708428710259003,0.9886712296436158,0.8544414251928933,0.8359106075789721
BSK_hDFCGF_MMP1_down,0.7832862402602963,0.37212898369265246,0.35700828078165703,0.9895539001626852,0.8410885672532838,0.9856152067814026,0.8319400002331288,0.9286754002911207,0.5981914513277657,0.6483222817525346,0.9750834831749293,0.7811201429395043,0.7532786457959469
BSK_hDFCGF_MMP1_up,0.6756840796019901,0.2829271809586507,0.07906198388336466,0.8249378109452736,0.14925582674798782,0.8249378109452736,0.3049533664072637,0.6203358208955223,0.0,0.0792534379843176,0.8728233830845771,-0.01266838123695451,0.2798195350567229
BSK_hDFCGF_PAI1_down,0.7838270104279957,0.35986374603287324,0.42219542682175604,0.9426140362100953,0.7157769178175826,0.9509308425564583,0.7561793908153194,0.9036529972490563,0.622251382386378,0.5953461921961675,0.9428699379438297,0.7527202426081675,0.744477634226164
BSK_hDFCGF_Proliferation_down,0.6950352770284292,0.26870250747726554,0.2795590281535264,0.9047520232413364,0.6869811978095309,0.9034550736667358,0.6111393553630345,0.8650913052500518,0.5519010337372907,0.5711794514397353,0.9223905374559037,0.7085270861451977,0.6816288906289324
BSK_hDFCGF_SRB_down,0.739185474537037,0.24713316307304156,0.2904713902350853,0.9796730324074074,0.7728525967890878,0.9786603009259259,0.7500447204273005,0.9457826967592592,0.7002261710426331,0.6767402713527537,0.9837239583333334,0.8472944423455968,0.7923628098194714
BSK_hDFCGF_TIMP1_down,0.7338478407557355,0.30705149598327985,0.3383775410250907,0.9725877192982456,0.7502230441000997,0.9728407557354926,0.757795943955723,0.9528087044534412,0.590709199260242,0.6964314813313255,0.9762989203778678,0.7402159244264508,0.7711880881389318
BSK_hDFCGF_VCAM1_down,0.6384810126582279,0.23849988293362528,0.18433117200161012,0.9633544303797469,0.8139078856369942,0.9639240506329114,0.8036884903794277,0.9229746835443038,0.6089206368404819,0.6178352834485243,0.9730379746835442,0.7704430379746835,0.753808893620436
CEETOX_H295R_11DCORT_dn,0.589406779661017,0.09446894041981058,0.09446894041981058,0.9419491525423729,0.7046030034236093,0.923728813559322,0.5766909965299043,0.6122881355932203,0.14178121132515212,0.17490917740068146,0.8635593220338984,0.5536666861335803,0.48856991820183876
CEETOX_H295R_ANDR_dn,0.6647776809067132,0.2952692976787463,0.2076322804656322,0.8836094158674804,0.6038091500374234,0.8722755013077594,0.46036501529470086,0.6403661726242371,-0.053076382737515686,0.25920989644605946,0.8836094158674804,0.648921200659819,0.6042330460394374
CEETOX_H295R_CORTISOL_dn,0.6805555555555556,0.26242441010441725,0.2197492626394535,0.7489711934156379,0.2537081317024624,0.7788065843621399,0.43804790253153897,0.6707818930041152,0.07327629772006865,0.18565266430812644,0.7772633744855968,0.2993668062464726,0.3707805334837066
CEETOX_H295R_DOC_dn,0.750534188034188,0.24196089525927034,0.31184285130916595,0.7702991452991453,0.43071846332474467,0.8007478632478633,0.4685756640036764,0.5678418803418803,0.0,0.04354022945835463,0.7489316239316239,0.3285670479022121,0.3091840352246189
CEETOX_H295R_DOC_up,0.4072289156626506,-0.043163903825611624,0.08897515717930529,0.8176706827309237,0.24607979302739688,0.7903614457831325,0.38388151247230917,0.665863453815261,0.0,0.14757178697123885,0.6385542168674699,0.0,0.11089632911415588
CEETOX_H295R_ESTRADIOL_up,0.6468253968253969,-0.006660748630287956,-0.002126216277812811,0.7809523809523808,-0.006660748630287956,0.7753968253968254,0.36635396212394067,0.7547619047619047,0.0,0.31345783441076785,0.8111111111111111,0.13956064026875148,0.39464285714285713
