round,assay,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
1,TA98,0.9056386651323358,0.8796035964796673,0.7844036697247706,0.8300970873786407,0.9453059790010104,0.8066037735849056,0.7447867595623764
1,TA98_S9,0.9050554870530211,0.8731662201811455,0.8195121951219512,0.8076923076923077,0.9433282306416636,0.8135593220338982,0.7499104407470121
1,TA1537,0.9471153846153846,0.8810748999428245,0.7924528301886793,0.7924528301886793,0.9784292322885806,0.7924528301886793,0.7621497998856489
1,TA1537_S9,0.9525,0.8846990375727258,0.84,0.7924528301886793,0.9771627426458592,0.8155339805825242,0.788741593147252
1,TA102,0.8693181818181818,0.7876661051843534,0.7352941176470589,0.6410256410256411,0.891259591989519,0.6849315068493151,0.6052400317204546
1,TA102_S9,0.915032679738562,0.8145529197080292,0.5789473684210527,0.6875,0.8832116788321167,0.6285714285714286,0.5837337335657161
2,TA100,0.8875675675675676,0.8496682024480814,0.8305785123966942,0.7613636363636364,0.9288898821803512,0.7944664031620553,0.7185728348207974
2,TA100_S9,0.8655172413793103,0.8342592592592593,0.8023715415019763,0.7518518518518519,0.9144691358024692,0.7762906309751435,0.6810329219687896
2,TA1535,0.9457831325301204,0.8200763196947212,0.7954545454545454,0.660377358490566,0.9656561373754504,0.7216494845360825,0.6955802079313996
2,TA1535_S9,0.9594882729211088,0.8186844863731657,0.90625,0.6444444444444445,0.9496331236897276,0.7532467532467533,0.7444994746737457
2,TA97,0.9095238095238096,0.7487911025145068,0.5714285714285714,0.5454545454545454,0.8810444874274662,0.5581395348837208,0.5079425044164171
2,TA97_S9,0.9207920792079208,0.8278870829769034,0.8275862068965517,0.6857142857142857,0.957399486740804,0.75,0.7078227400371658
2,TA98,0.9067894131185269,0.8485700478847252,0.8491620111731844,0.7378640776699029,0.9467703436863916,0.7896103896103895,0.7330935108765844
2,TA98_S9,0.903822441430333,0.8550157864523535,0.8532608695652174,0.7548076923076923,0.942833907386146,0.8010204081632654,0.7403299217323152
