method,assay,round,bin,MCC
dnn,NR-ER-LBD,0,2-3,0.0
dnn,NR-ER-LBD,0,>3,0.5510231906121268
dnn,NR-ER-LBD,1,0-1,1.0
dnn,NR-ER-LBD,1,2-3,0.0
dnn,NR-ER-LBD,1,>3,0.5267201592973526
dnn,NR-ER-LBD,2,0-1,1.0
dnn,NR-ER-LBD,2,2-3,0.0
dnn,NR-ER-LBD,2,>3,0.6210596275526807
dnn,NR-ER-LBD,3,0-1,0.0
dnn,NR-ER-LBD,3,2-3,0.0
dnn,NR-ER-LBD,3,>3,0.6347567063406658
dnn,NR-ER-LBD,4,0-1,0.0
dnn,NR-ER-LBD,4,2-3,0.0
dnn,NR-ER-LBD,4,>3,0.5699051157639766
dnn,NR-ER-LBD,5,0-1,0.0
dnn,NR-ER-LBD,5,2-3,0.0
dnn,NR-ER-LBD,5,>3,0.6280102343211355
dnn,NR-ER-LBD,6,0-1,0.0
dnn,NR-ER-LBD,6,2-3,0.0
dnn,NR-ER-LBD,6,>3,0.6308415688046838
dnn,NR-ER-LBD,7,0-1,0.0
dnn,NR-ER-LBD,7,2-3,0.0
dnn,NR-ER-LBD,7,>3,0.5940089913756165
dnn,NR-ER-LBD,8,0-1,0.0
dnn,NR-ER-LBD,8,2-3,0.0
dnn,NR-ER-LBD,8,>3,0.6299714939448796
dnn,NR-ER-LBD,9,0-1,0.0
dnn,NR-ER-LBD,9,2-3,0.0
dnn,NR-ER-LBD,9,>3,0.627340492186995
dnn,NR-ER-LBD,10,0-1,0.0
dnn,NR-ER-LBD,10,2-3,0.0
dnn,NR-ER-LBD,10,>3,0.6034812906421166
dnn,NR-ER-LBD,11,0-1,0.0
dnn,NR-ER-LBD,11,2-3,0.0
dnn,NR-ER-LBD,11,>3,0.6500263665492255
dnn,NR-ER-LBD,12,0-1,0.0
dnn,NR-ER-LBD,12,2-3,0.0
dnn,NR-ER-LBD,12,>3,0.6299714939448796
dnn,NR-ER-LBD,13,0-1,0.0
dnn,NR-ER-LBD,13,2-3,0.0
dnn,NR-ER-LBD,13,>3,0.6478982409337076
dnn,NR-ER-LBD,14,0-1,0.0
dnn,NR-ER-LBD,14,2-3,0.0
dnn,NR-ER-LBD,14,>3,0.6029519330543408
dnn,NR-ER-LBD,15,0-1,0.0
dnn,NR-ER-LBD,15,2-3,0.0
dnn,NR-ER-LBD,15,>3,0.5991116165203373
dnn,NR-ER-LBD,16,0-1,0.0
