target_assay,auxilliary_assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-PPAR-gamma,SR-HSE,1,0.9637037037037037,0.6398900804841399,0.3235294117647059,0.2972972972972973,0.7716391181737716,0.3098591549295775,0.2915296542930413
NR-PPAR-gamma,SR-HSE,2,0.9644444444444444,0.6402708877956402,0.3333333333333333,0.2972972972972973,0.7671929355097673,0.3142857142857143,0.2966066672358298
NR-PPAR-gamma,SR-HSE,3,0.9666666666666667,0.6414133097301414,0.36666666666666664,0.2972972972972973,0.758959263909759,0.3283582089552239,0.31326070045426724
NR-PPAR-gamma,SR-HSE,4,0.9666666666666667,0.6545460159321546,0.375,0.32432432432432434,0.7609353450937609,0.34782608695652173,0.3317327433551069
NR-PPAR-gamma,SR-HSE,5,0.965925925925926,0.6541652086206542,0.36363636363636365,0.32432432432432434,0.7634877832897635,0.34285714285714286,0.32598659245179357
NR-PPAR-gamma,SR-HSE,6,0.9666666666666667,0.6414133097301414,0.36666666666666664,0.2972972972972973,0.7647640023877648,0.3283582089552239,0.31326070045426724
NR-PPAR-gamma,SR-HSE,7,0.9622222222222222,0.6391284658611391,0.3055555555555556,0.2972972972972973,0.7625409110557625,0.3013698630136986,0.2819877771103948
NR-PPAR-gamma,SR-HSE,8,0.9666666666666667,0.6414133097301414,0.36666666666666664,0.2972972972972973,0.7718037916057718,0.3283582089552239,0.31326070045426724
NR-PPAR-gamma,SR-HSE,9,0.9644444444444444,0.6534035939976535,0.34285714285714286,0.32432432432432434,0.7615528704637616,0.33333333333333337,0.3152113570454437
NR-PPAR-gamma,SR-HSE,10,0.9644444444444444,0.6402708877956402,0.3333333333333333,0.2972972972972973,0.7758177065107759,0.3142857142857143,0.2966066672358298
NR-PPAR-gamma,SR-HSE,11,0.9651851851851851,0.6537844013091538,0.35294117647058826,0.32432432432432434,0.7447561803997448,0.3380281690140845,0.3204852924107286
NR-PPAR-gamma,SR-HSE,12,0.9681481481481482,0.6553076305551553,0.4,0.32432432432432434,0.7734711101047735,0.3582089552238806,0.34403959023689173
NR-PPAR-gamma,SR-HSE,13,0.9637037037037037,0.6530227866861531,0.3333333333333333,0.32432432432432434,0.7582182334657581,0.32876712328767127,0.31014900651556077
NR-PPAR-gamma,SR-HSE,14,0.9651851851851851,0.6406516951071407,0.34375,0.2972972972972973,0.7743150614437743,0.3188405797101449,0.30190860886327187
NR-PPAR-gamma,SR-HSE,15,0.9674074074074074,0.6417941170416418,0.3793103448275862,0.2972972972972973,0.7722772277227722,0.33333333333333337,0.31935301860347
NR-PPAR-gamma,SR-HSE,16,0.9637037037037037,0.6267573742821267,0.3125,0.2702702702702703,0.7526605051357527,0.2898550724637681,0.27208447437143685
NR-PPAR-gamma,SR-HSE,17,0.9681481481481482,0.6553076305551553,0.4,0.32432432432432434,0.7643317346287645,0.3582089552238806,0.34403959023689173
NR-PPAR-gamma,SR-HSE,18,0.9622222222222222,0.625995759659126,0.29411764705882354,0.2702702702702703,0.7528457627467529,0.28169014084507044,0.262574016175354
NR-PPAR-gamma,SR-HSE,19,0.9629629629629629,0.6395092731726395,0.3142857142857143,0.2972972972972973,0.7657520429797657,0.3055555555555555,0.2866615192721227
NR-PPAR-gamma,SR-MMP,0,0.9629629629629629,0.6395092731726395,0.3142857142857143,0.2972972972972973,0.7972870052077973,0.3055555555555555,0.2866615192721227
NR-PPAR-gamma,SR-MMP,1,0.96,0.6248533377246248,0.2702702702702703,0.2702702702702703,0.7852658446717853,0.2702702702702703,0.2497066754492497
NR-PPAR-gamma,SR-MMP,2,0.9585185185185185,0.5978263106975978,0.22857142857142856,0.21621621621621623,0.7980074514727982,0.22222222222222224,0.20101200595215982
NR-PPAR-gamma,SR-MMP,3,0.9607407407407408,0.6383668512381384,0.2894736842105263,0.2972972972972973,0.7817253658837817,0.29333333333333333,0.27317223938432617
NR-PPAR-gamma,SR-MMP,4,0.9614814814814815,0.6256149523476255,0.2857142857142857,0.2702702702702703,0.7767028262077766,0.2777777777777778,0.2581116814988017
NR-PPAR-gamma,SR-MMP,5,0.9592592592592593,0.6113398242111113,0.25,0.24324324324324326,0.7905971470327906,0.24657534246575344,0.22566531830006298
NR-PPAR-gamma,SR-MMP,6,0.96,0.637986043926638,0.28205128205128205,0.2972972972972973,0.8024536341368025,0.2894736842105264,0.26900771464371265
NR-PPAR-gamma,SR-MMP,7,0.9622222222222222,0.625995759659126,0.29411764705882354,0.2702702702702703,0.8062822914308063,0.28169014084507044,0.262574016175354
NR-PPAR-gamma,SR-MMP,8,0.9607407407407408,0.612101438834112,0.2647058823529412,0.24324324324324326,0.7945698935797946,0.25352112676056343,0.2336183780576667
NR-PPAR-gamma,SR-MMP,9,0.9622222222222222,0.625995759659126,0.29411764705882354,0.2702702702702703,0.7985838084847986,0.28169014084507044,0.262574016175354
