assay,run,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
TA100,6,0.8886486486486487,0.8886486486486487,0.8546255506607929,0.7348484848484849,0.9443336542428826,0.790224032586558,0.718794124753755
TA100,7,0.8886486486486487,0.8886486486486487,0.8546255506607929,0.7348484848484849,0.9443623068812176,0.790224032586558,0.718794124753755
TA100,8,0.8886486486486487,0.8886486486486487,0.8546255506607929,0.7348484848484849,0.9446602943199012,0.790224032586558,0.718794124753755
TA100,9,0.8864864864864865,0.8864864864864865,0.8533333333333334,0.7272727272727273,0.9436402603951772,0.7852760736196321,0.7129753323372549
TA100,10,0.8875675675675676,0.8875675675675676,0.8539823008849557,0.7310606060606061,0.9435027277311694,0.7877551020408164,0.7158860160842446
TA100,11,0.8886486486486487,0.8886486486486487,0.8546255506607929,0.7348484848484849,0.9433881171778296,0.790224032586558,0.718794124753755
TA100,12,0.8843243243243243,0.8843243243243243,0.8458149779735683,0.7272727272727273,0.9435485719525054,0.7820773930753563,0.7076683978516412
TA100,13,0.8843243243243243,0.8843243243243243,0.8458149779735683,0.7272727272727273,0.9436861046165133,0.7820773930753563,0.7076683978516412
TA100,14,0.8875675675675676,0.8875675675675676,0.8508771929824561,0.7348484848484849,0.9437204877825149,0.7886178861788617,0.7161450856910632
TA100,15,0.8875675675675676,0.8875675675675676,0.8508771929824561,0.7348484848484849,0.943703296199514,0.7886178861788617,0.7161450856910632
TA100,16,0.8864864864864865,0.8864864864864865,0.8502202643171806,0.7310606060606061,0.9439497088891946,0.7861507128309572,0.7132312613026981
TA100,17,0.8875675675675676,0.8875675675675676,0.8539823008849557,0.7310606060606061,0.9441445468298721,0.7877551020408164,0.7158860160842446
TA100,18,0.8854054054054054,0.8854054054054054,0.8526785714285714,0.7234848484848485,0.9442763489662128,0.7827868852459017,0.71006201438601
TA100,19,0.8864864864864865,0.8864864864864865,0.8533333333333334,0.7272727272727273,0.9440757804978684,0.7852760736196321,0.7129753323372549
TA100_S9,0,0.8793103448275862,0.8793103448275862,0.8540772532188842,0.737037037037037,0.9330061728395064,0.7912524850894632,0.7108127720980162
TA100_S9,1,0.8758620689655172,0.8758620689655172,0.8552631578947368,0.7222222222222222,0.9324629629629628,0.783132530120482,0.7019288165531308
TA100_S9,2,0.8781609195402299,0.8781609195402299,0.8534482758620692,0.7333333333333333,0.9318950617283952,0.7888446215139442,0.7079098555864042
TA100_S9,3,0.8827586206896552,0.8827586206896552,0.8652173913043478,0.737037037037037,0.9323641975308642,0.7959999999999999,0.7190000615202919
TA100_S9,4,0.8793103448275862,0.8793103448275862,0.8540772532188842,0.737037037037037,0.9316481481481482,0.7912524850894632,0.7108127720980162
TA100_S9,5,0.8781609195402299,0.8781609195402299,0.8565217391304348,0.7296296296296296,0.933135802469136,0.7880000000000001,0.7077322950873881
TA100_S9,6,0.8747126436781609,0.8747126436781609,0.8546255506607929,0.7185185185185186,0.9314876543209876,0.7806841046277666,0.6990240863812953
TA100_S9,7,0.8781609195402299,0.8781609195402299,0.8534482758620692,0.7333333333333333,0.9335802469135802,0.7888446215139442,0.7079098555864042
TA100_S9,8,0.8781609195402299,0.8781609195402299,0.8596491228070176,0.725925925925926,0.9326358024691358,0.7871485943775101,0.7075785350321874
TA100_S9,9,0.8770114942528736,0.8770114942528736,0.8558951965065502,0.725925925925926,0.9324135802469136,0.7855711422845691,0.7048315331562127
TA100_S9,10,0.8770114942528736,0.8770114942528736,0.8528138528138528,0.7296296296296296,0.93120987654321,0.7864271457085827,0.7050050881663682
TA100_S9,11,0.8793103448275862,0.8793103448275862,0.851063829787234,0.7407407407407407,0.9310308641975308,0.7920792079207921,0.7110177551990777
TA100_S9,12,0.8781609195402299,0.8781609195402299,0.8565217391304348,0.7296296296296296,0.9316543209876544,0.7880000000000001,0.7077322950873881
TA100_S9,13,0.8827586206896552,0.8827586206896552,0.8589743589743589,0.7444444444444445,0.9314012345679012,0.7976190476190476,0.7193169549550112
TA100_S9,14,0.8747126436781609,0.8747126436781609,0.8546255506607929,0.7185185185185186,0.9318703703703703,0.7806841046277666,0.6990240863812953
TA100_S9,15,0.8758620689655172,0.8758620689655172,0.8521739130434782,0.725925925925926,0.9321049382716049,0.784,0.7020984118709362
TA100_S9,16,0.8793103448275862,0.8793103448275862,0.8540772532188842,0.737037037037037,0.9317345679012348,0.7912524850894632,0.7108127720980162
TA100_S9,17,0.8793103448275862,0.8793103448275862,0.8540772532188842,0.737037037037037,0.9321172839506174,0.7912524850894632,0.7108127720980162
TA100_S9,18,0.8804597701149425,0.8804597701149425,0.8608695652173913,0.7333333333333333,0.9319259259259258,0.7919999999999999,0.7133661783038401
TA100_S9,19,0.8758620689655172,0.8758620689655172,0.8552631578947368,0.7222222222222222,0.9312283950617284,0.783132530120482,0.7019288165531308
TA1535,0,0.9497991967871486,0.9497991967871486,0.7916666666666666,0.7169811320754716,0.980368878524486,0.7524752475247525,0.7257199827220046
TA1535,1,0.9538152610441768,0.9538152610441768,0.8125,0.7358490566037735,0.9807080771676912,0.7722772277227722,0.7477839968487175
TA1535,2,0.9497991967871486,0.9497991967871486,0.7916666666666666,0.7169811320754716,0.9804536781852872,0.7524752475247525,0.7257199827220046
TA1535,3,0.9518072289156626,0.9518072289156626,0.8085106382978723,0.7169811320754716,0.9802840788636846,0.76,0.734956635165813
TA1535,4,0.9538152610441768,0.9538152610441768,0.8125,0.7358490566037735,0.9804536781852872,0.7722772277227722,0.7477839968487175
TA1535,5,0.9518072289156626,0.9518072289156626,0.7959183673469388,0.7358490566037735,0.9808352766588934,0.7647058823529412,0.7386112565646952
