,XGB_AUC,XGB_MCC,XGB_sparse_AUC,XGB_sparse_MCC,XGB-FN_AUC,XGB-FN_MCC,XGB-FN_sparse_AUC,XGB-FN_sparse_MCC,Macau_AUC,Macau_MCC,Macau_sparse_AUC,Macau_sparse_MCC
OT_NURR1_NURR1RXRa_1440,0.6025688756515264,-0.0180294268280726,0.6451973194341027,-0.012729515596935399,0.796909903201787,0.1222822747362928,0.8257632166790767,-0.012729515596935399,0.8114296351451973,0.0,0.7961653015636634,0.0
TOX21_ARE_BLA_Agonist_ch1,0.7549031942405816,0.349451062976348,0.6719228349758858,0.19166665656006587,0.9885370797511708,0.7550700744424204,0.8729782623890404,0.33780461132389394,0.9897812259732999,0.770241383789017,0.9756343048857202,0.6186581571412598
TOX21_ARE_BLA_Agonist_ch2,0.7469219532554259,0.13379326436577443,0.6522403410445982,0.09539179633447628,0.9127042093966135,0.39706148106636163,0.7308087884569521,0.1070976289600808,0.9172132124970188,0.3900197460526046,0.8246854877176246,0.10055397392341148
TOX21_ARE_BLA_agonist_ratio,0.7481952425635088,0.3030986208043055,0.6424576892255638,0.19949744453752155,0.866708218324281,0.5764960752370083,0.720440675876523,0.31055819541997703,0.8667390396087752,0.5301919160562825,0.7937542379266179,0.39620676245804876
TOX21_ARE_BLA_agonist_viability,0.7269596504754562,0.0,0.5491390388075045,0.0,0.6085839115908507,0.0,0.6596247751220765,0.0,0.6627088152145978,0.0,0.5541506039578514,0.0
TOX21_AR_BLA_Agonist_ch2,0.872134566932386,0.6250748951886392,0.8534705299244145,0.4650575080060337,0.9709636115815126,0.8016487335380503,0.8713911032175456,0.5866994523365407,0.9753314609061997,0.752389886569733,0.9269856676717194,0.4654218888979723
TOX21_AR_BLA_Agonist_ratio,0.8540719002201027,0.5221726420179508,0.7680798658421549,0.41241984495197354,0.9788072529085002,0.6762866686884853,0.8646158683576145,0.4465225714516382,0.9719211822660099,0.6330582001998288,0.9138559899381618,0.4548983297093263
TOX21_AR_BLA_Antagonist_ch2,0.7581468437945792,0.23134492775440657,0.7476595934379459,0.12086068861794608,0.9762615905848787,0.35570575888709993,0.8341989122681884,0.19973942058856306,0.9789586305278174,0.4651655982895702,0.9434958987161199,0.0
TOX21_AR_BLA_Antagonist_ratio,0.8259201050411809,0.32829912590765764,0.7323220467114948,0.17791766714967988,0.9688258464966379,0.7779612347772,0.8516571837822783,0.42219682687531684,0.9656547169060598,0.7301011670386774,0.9344288385787609,0.6200230245711046
TOX21_AR_BLA_Antagonist_viability,0.7644920889704196,0.18747667084400133,0.6587556370862951,0.08552195162871883,0.9731177864404188,0.7446463853449062,0.8161621952151648,0.20584300301923283,0.9700756707177253,0.6337637523886398,0.9105556829473362,0.4632667523137324
TOX21_AR_LUC_MDAKB2_Agonist,0.7751390870923041,0.6081206927547299,0.7811782589812,0.5730742237786414,0.8683791441748878,0.6445781244010773,0.7786291907096028,0.5609576104161814,0.8654526276602345,0.6066323316143057,0.8022067795909082,0.5593887669842049
TOX21_AR_LUC_MDAKB2_Antagonist,0.8174074745510381,0.2569054993000819,0.727436535535156,0.10412875238579145,0.9596662107003753,0.69333749347075,0.8272684322999928,0.262606162581613,0.9610780581329553,0.6283779374845536,0.9229636710230674,0.43145871766913896
TOX21_AR_LUC_MDAKB2_Antagonist2,0.8359134641034304,0.4024414611778914,0.7468078106382601,0.2454799262885224,0.939054969678647,0.7228976738391034,0.8544975191620281,0.44120508090011723,0.9424294428340239,0.6976020996836902,0.8977032242001741,0.5695565173519249
TOX21_AhR_LUC_Agonist,0.8541720066747923,0.4163694598474373,0.7977344416138769,0.2871126577118953,0.8793515617235192,0.4794511932250774,0.8262827789315101,0.2706417753564591,0.8927743805154655,0.3712364565622056,0.8505442885016766,0.2525208946290742
TOX21_Aromatase_Inhibition,0.8244998317190831,0.3333277695771077,0.725333757151939,0.23673319916048022,0.9403051493960585,0.6926631286410553,0.8300175760068809,0.4047353251658905,0.9300961071014547,0.6575542487370781,0.8947197187838898,0.5794747150641171
TOX21_ELG1_LUC_Agonist,0.833109799713877,0.34963629731299467,0.7774499284692418,0.2016511251277079,0.9378576537911302,0.49524050510306283,0.8480865522174535,0.285327181108854,0.9300339771101573,0.13898985002512848,0.8913626609442059,0.0
TOX21_ERa_BLA_Agonist_ch1,0.7645671710576849,0.24912197338114472,0.7482832782855826,0.13877722339849988,0.9652661494738459,0.5141169143041625,0.8471925647131116,0.2531484856722646,0.9567094246869959,0.5440431539400944,0.9032337353099317,0.14395019688297278
TOX21_ERa_BLA_Agonist_ch2,0.7700192382364361,0.46088093592676826,0.6975184439973173,0.32271292723668954,0.9557344064386318,0.7813430261962316,0.7893854354195347,0.5051251771923999,0.9365932436725617,0.59067683398618,0.8392107028133715,0.36929115734664314
TOX21_ERa_BLA_Agonist_ratio,0.82219540262146,0.529840377888806,0.7802305238242256,0.2868598224432762,0.9794923610916201,0.7842408709811366,0.8048780487804879,0.31949684811112694,0.9671990045562137,0.6402308929355772,0.8731838296518755,0.15848620200278649
TOX21_ERa_BLA_Antagonist_ch1,0.721669583371711,-0.006884342915138162,0.6425731478922968,0.07728644362227122,0.9511835682048448,0.3594096313627952,0.8214055448098,0.09137268298321846,0.9509072487795892,0.09949039161683265,0.9019833594301679,-0.006884342915138162
TOX21_ERa_BLA_Antagonist_ch2,0.7408858477725049,0.15373030556657125,0.7333627634918882,0.10862775149818157,0.9881359673325241,0.604630685656685,0.916547106647537,0.10862775149818157,0.9895522937129824,0.6180373158054122,0.9839421697384395,0.15798926344167188
TOX21_ERa_BLA_Antagonist_ratio,0.7905482118238586,0.2598058977719949,0.7190527036646573,0.12690116877278623,0.9660791681309077,0.7168033245495381,0.8369488822209608,0.31559165360273916,0.9626686129808342,0.6838803113913832,0.9324196469602357,0.5688778005490173
TOX21_ERa_BLA_Antagonist_viability,0.8354982206405693,0.21414665831631352,0.752910523640061,0.0,0.9963650228774783,0.7591436797042571,0.9639552618200304,0.0,0.9963396034570411,0.713825318520225,0.9904422979156076,0.18719215217416188
TOX21_ERa_LUC_BG1_Agonist,0.6674885774536509,0.20519463321227271,0.5947998125530856,0.16031914108161993,0.7558851741206104,0.42647552466903327,0.6080785226840055,0.16326733220008605,0.7263238438332894,0.32669163997946815,0.6337536244618224,0.23330859351957003
