method,assay,round,bin,MCC
dnn,TA1535_S9,4,2-3,0.6730769230769231
dnn,TA1535_S9,4,>3,0.3437825295598634
dnn,TA1535_S9,5,0-1,0.5
dnn,TA1535_S9,5,2-3,0.6730769230769231
dnn,TA1535_S9,5,>3,0.3728897474738895
dnn,TA1535_S9,6,0-1,0.5
dnn,TA1535_S9,6,2-3,0.6730769230769231
dnn,TA1535_S9,6,>3,0.35765434554147657
dnn,TA1535_S9,7,0-1,0.5
dnn,TA1535_S9,7,2-3,0.6730769230769231
dnn,TA1535_S9,7,>3,0.35765434554147657
dnn,TA1535_S9,8,0-1,0.5
dnn,TA1535_S9,8,2-3,0.6730769230769231
dnn,TA1535_S9,8,>3,0.3437825295598634
dnn,TA1535_S9,9,0-1,0.5
dnn,TA1535_S9,9,2-3,0.6730769230769231
dnn,TA1535_S9,9,>3,0.38974325882517835
dnn,TA1535_S9,10,0-1,0.5
dnn,TA1535_S9,10,2-3,0.7673352714449003
dnn,TA1535_S9,10,>3,0.3728897474738895
dnn,TA1535_S9,11,0-1,0.5
dnn,TA1535_S9,11,2-3,0.7673352714449003
dnn,TA1535_S9,11,>3,0.331072754472197
dnn,TA1535_S9,12,0-1,0.5
dnn,TA1535_S9,12,2-3,0.7673352714449003
dnn,TA1535_S9,12,>3,0.3437825295598634
dnn,TA1535_S9,13,0-1,0.5
dnn,TA1535_S9,13,2-3,0.70716343811394
dnn,TA1535_S9,13,>3,0.3437825295598634
dnn,TA1535_S9,14,0-1,0.5
dnn,TA1535_S9,14,2-3,0.6730769230769231
dnn,TA1535_S9,14,>3,0.3728897474738895
dnn,TA1535_S9,15,0-1,0.5
dnn,TA1535_S9,15,2-3,0.610170215847752
dnn,TA1535_S9,15,>3,0.331072754472197
dnn,TA1535_S9,16,0-1,0.5
dnn,TA1535_S9,16,2-3,0.6730769230769231
dnn,TA1535_S9,16,>3,0.35765434554147657
dnn,TA1535_S9,17,0-1,0.5
dnn,TA1535_S9,17,2-3,0.6730769230769231
dnn,TA1535_S9,17,>3,0.35765434554147657
dnn,TA1535_S9,18,0-1,0.5
dnn,TA1535_S9,18,2-3,0.6730769230769231
dnn,TA1535_S9,18,>3,0.35765434554147657
dnn,TA1535_S9,19,0-1,0.5
dnn,TA1535_S9,19,2-3,0.6730769230769231
dnn,TA1535_S9,19,>3,0.3728897474738895
dnn,TA97,0,0-1,0.0
dnn,TA97,0,2-3,0.5051814855409226
dnn,TA97,0,>3,0.11339718973071145
dnn,TA97,1,0-1,0.0
dnn,TA97,1,2-3,0.5051814855409226
dnn,TA97,1,>3,0.16410457828036534
dnn,TA97,2,0-1,0.0
dnn,TA97,2,2-3,0.6488856845230502
dnn,TA97,2,>3,0.07308970099667775
dnn,TA97,3,0-1,0.0
dnn,TA97,3,2-3,0.5051814855409226
dnn,TA97,3,>3,0.15033222591362128
dnn,TA97,4,0-1,0.0
dnn,TA97,4,2-3,0.5051814855409226
dnn,TA97,4,>3,0.16157154427555076
dnn,TA97,5,0-1,0.0
dnn,TA97,5,2-3,0.5051814855409226
dnn,TA97,5,>3,0.1126946786989845
dnn,TA97,6,0-1,0.0
dnn,TA97,6,2-3,0.5051814855409226
dnn,TA97,6,>3,0.09097806150696008
dnn,TA97,7,0-1,0.0
dnn,TA97,7,2-3,0.6488856845230502
dnn,TA97,7,>3,0.1577417977316919
dnn,TA97,8,0-1,0.0
dnn,TA97,8,2-3,0.5051814855409226
dnn,TA97,8,>3,0.16157154427555076
dnn,TA97,9,0-1,0.0
dnn,TA97,9,2-3,0.6488856845230502
dnn,TA97,9,>3,0.06324993051265776
dnn,TA97,10,0-1,0.0
dnn,TA97,10,2-3,0.5051814855409226
dnn,TA97,10,>3,0.11339718973071145
dnn,TA97,11,0-1,0.0
dnn,TA97,11,2-3,0.5051814855409226
dnn,TA97,11,>3,0.1012541623929953
dnn,TA97,12,0-1,0.0
dnn,TA97,12,2-3,0.5051814855409226
dnn,TA97,12,>3,0.12166171215504734
dnn,TA97,13,0-1,0.0
dnn,TA97,13,2-3,0.5051814855409226
dnn,TA97,13,>3,0.08164519524562405
dnn,TA97,14,0-1,0.0
dnn,TA97,14,2-3,0.5051814855409226
dnn,TA97,14,>3,0.13050699007214153
dnn,TA97,15,0-1,0.0
dnn,TA97,15,2-3,0.6488856845230502
dnn,TA97,15,>3,0.0785788119496214
dnn,TA97,16,0-1,0.0
dnn,TA97,16,2-3,0.5051814855409226
dnn,TA97,16,>3,0.13050699007214153
dnn,TA97,17,0-1,0.0
dnn,TA97,17,2-3,0.5051814855409226
dnn,TA97,17,>3,0.1012541623929953
dnn,TA97,18,0-1,0.0
dnn,TA97,18,2-3,0.6488856845230502
dnn,TA97,18,>3,0.2031845354416575
dnn,TA97,19,0-1,0.0
dnn,TA97,19,2-3,0.5051814855409226
dnn,TA97,19,>3,0.2110225559322938
dnn,TA97_S9,0,0-1,0.4
dnn,TA97_S9,0,2-3,0.6882472016116853
dnn,TA97_S9,0,>3,0.35187862717563956
dnn,TA97_S9,1,0-1,0.2581988897471611
dnn,TA97_S9,1,2-3,0.6882472016116853
dnn,TA97_S9,1,>3,0.32180286742786546
dnn,TA97_S9,2,0-1,0.2581988897471611
dnn,TA97_S9,2,2-3,0.6882472016116853
dnn,TA97_S9,2,>3,0.3883918478672714
dnn,TA97_S9,3,0-1,0.4
dnn,TA97_S9,3,2-3,0.6882472016116853
dnn,TA97_S9,3,>3,0.42316363302800525
dnn,TA97_S9,4,0-1,0.4
dnn,TA97_S9,4,2-3,0.6882472016116853
dnn,TA97_S9,4,>3,0.3883918478672714
dnn,TA97_S9,5,0-1,0.4
dnn,TA97_S9,5,2-3,0.6882472016116853
dnn,TA97_S9,5,>3,0.3482793133159899
dnn,TA97_S9,6,0-1,0.4
dnn,TA97_S9,6,2-3,0.6882472016116853
dnn,TA97_S9,6,>3,0.4023599520296529
dnn,TA97_S9,7,0-1,0.4
dnn,TA97_S9,7,2-3,0.6882472016116853
dnn,TA97_S9,7,>3,0.3674842076295835
dnn,TA97_S9,8,0-1,0.4
dnn,TA97_S9,8,2-3,0.6882472016116853
dnn,TA97_S9,8,>3,0.4113175844688219
dnn,TA97_S9,9,0-1,0.4
dnn,TA97_S9,9,2-3,0.6882472016116853
dnn,TA97_S9,9,>3,0.3674842076295835
dnn,TA97_S9,10,0-1,0.4
dnn,TA97_S9,10,2-3,0.6882472016116853
dnn,TA97_S9,10,>3,0.4357904394258666
dnn,TA97_S9,11,0-1,0.4
dnn,TA97_S9,11,2-3,0.6882472016116853
dnn,TA97_S9,11,>3,0.42316363302800525
dnn,TA97_S9,12,0-1,0.4
dnn,TA97_S9,12,2-3,0.6882472016116853
dnn,TA97_S9,12,>3,0.3674842076295835
dnn,TA97_S9,13,0-1,0.4
dnn,TA97_S9,13,2-3,0.6882472016116853
dnn,TA97_S9,13,>3,0.3664575860210658
dnn,TA97_S9,14,0-1,0.4
dnn,TA97_S9,14,2-3,0.6882472016116853
dnn,TA97_S9,14,>3,0.4357904394258666
dnn,TA97_S9,15,0-1,0.4
dnn,TA97_S9,15,2-3,0.6882472016116853
dnn,TA97_S9,15,>3,0.3674842076295835
dnn,TA97_S9,16,0-1,0.4
dnn,TA97_S9,16,2-3,0.6882472016116853
dnn,TA97_S9,16,>3,0.5188863663552646
dnn,TA97_S9,17,0-1,0.4
dnn,TA97_S9,17,2-3,0.6882472016116853
dnn,TA97_S9,17,>3,0.41664897343891855
dnn,TA97_S9,18,0-1,0.2581988897471611
dnn,TA97_S9,18,2-3,0.6882472016116853
dnn,TA97_S9,18,>3,0.3626203338114211
dnn,TA97_S9,19,0-1,0.2581988897471611
dnn,TA97_S9,19,2-3,0.6882472016116853
dnn,TA97_S9,19,>3,0.33652194164783944
dnn,TA98,0,0-1,0.4436336856797506
dnn,TA98,0,2-3,0.5423554983203568
dnn,TA98,0,>3,0.47320510967298496
dnn,TA98,1,0-1,0.45621264897399066
dnn,TA98,1,2-3,0.5423554983203568
dnn,TA98,1,>3,0.47891335781830596
dnn,TA98,2,0-1,0.41292622825355274
dnn,TA98,2,2-3,0.5256601865229711
dnn,TA98,2,>3,0.4236803280674855
dnn,TA98,3,0-1,0.47274566100732435
dnn,TA98,3,2-3,0.5026197036841409
dnn,TA98,3,>3,0.39235644386277824
dnn,TA98,4,0-1,0.5471498739367794
dnn,TA98,4,2-3,0.562778284632691
dnn,TA98,4,>3,0.4210124373464509
dnn,TA98,5,0-1,0.5110710565071377
dnn,TA98,5,2-3,0.5696585232014664
dnn,TA98,5,>3,0.43355498476206
dnn,TA98,6,0-1,0.4668799467216665
dnn,TA98,6,2-3,0.5839200154422466
dnn,TA98,6,>3,0.4502552082800688
dnn,TA98,7,0-1,0.4428359446304385
dnn,TA98,7,2-3,0.5380829091180419
