TA100,TA100_S9,TA1535,TA1535_S9,TA97,TA97_S9,TA98,TA98_S9,TA1537,TA1537_S9,TA102,TA102_S9,standardised_smiles
,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3
,,,,,,,,,,,,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC(C)=O)C3
,,,,,,,,,,,,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1O)C3
,,,,,,,,,,,,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3
,,,,,,,,,,,,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C3
,,,,,,,,,,,,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1C3
,,,,0.0,,,,,,0.0,0.0,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3
,,,,,,,,,,,,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(C)C(O)C(O)C1O)C3
,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,C=C1CCC2CC1C2(C)C
,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,C=C1CCC=C(C)CCC2C1CC2(C)C
0.0,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,C=CC#N
0.0,0.0,0.0,,,,0.0,0.0,,,,,C=CC(=C)C
0.0,0.0,0.0,,,,,0.0,,,,,C=CC(=C)CCC=C(C)C
0.0,0.0,0.0,0.0,,,,,,0.0,,,C=CC(=C)Cl
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=CC(=N)O
1.0,1.0,,,,,,,,,,,C=CC(=O)CC
1.0,,,,,,1.0,,,,,,C=CC(=O)N(CC1CO1)CC1CO1
0.0,0.0,,,,0.0,0.0,0.0,,,,,C=CC(=O)N1CCN(c2ccccc2)CC1
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,C=CC(=O)O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,C=CC(=O)OC
,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=CC(=O)OC(C)(C)C
,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=CC(=O)OCC
0.0,1.0,,1.0,,,0.0,,0.0,0.0,,,C=CC(=O)OCC(Br)CBr
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,C=CC(=O)OCC(C)(C)C
0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,C=CC(=O)OCC(C)(C)COC(=O)C=C
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,C=CC(=O)OCC(C)C
0.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,,,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=CC(=O)OCC(CC)CCCC
,0.0,,,,,,0.0,0.0,0.0,,,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C
,,1.0,,,,,,,,,,C=CC(=O)OCC1CO1
,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,C=CC(=O)OCCBr
0.0,,0.0,,,,0.0,0.0,0.0,,,,C=CC(=O)OCCCC
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=CC(=O)OCCCCC
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,C=CC(=O)OCCCCCC
0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=CC(=O)OCCCCCC(C)C
0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,C=CC(=O)OCCCCCCOC(=O)C=C
0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,C=CC(=O)OCCCCCOC(=O)C=C
0.0,,0.0,0.0,,,0.0,,0.0,,,,C=CC(=O)OCCCCOC(=O)C=C
,,,,,,,,,,,0.0,C=CC(=O)OCCCO
,,0.0,1.0,,,0.0,0.0,0.0,,,,C=CC(=O)OCCCl
,,0.0,0.0,,,,,0.0,0.0,,,C=CC(=O)OCCN(C)C
0.0,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,C=CC(=O)OCCO
0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,C=CC(=O)OCCOC(=O)C=C
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,C=CC(=O)OCCOCCOC(=O)C=C
0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C
