TA100,TA100_S9,TA1535,TA1535_S9,TA97,TA97_S9,TA98,TA98_S9,TA1537,TA1537_S9,TA102,TA102_S9,standardised_smiles,CAS
0.0,0.0,0.0,0.0,,,,,,,,,C1CCCC2OC2CC1,['286-62-4']
0.0,0.0,0.0,0.0,,,,,,,,,C1CCCCCC2OC2CCCC1,['286-99-7']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1CCCNCC1,['111-49-9']
0.0,0.0,,,,,0.0,0.0,,,,,C1CCNC1,['123-75-1']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1CCOC1,['109-99-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1CN(SSN2CCOCC2)CCO1,['103-34-4']
,,,,,,0.0,0.0,0.0,0.0,,,C1CN1,"['9002-98-6', '151-56-4']"
1.0,,,,,,1.0,,,,,,C1CN1c1nc(N2CC2)nc(N2CC2)n1,['51-18-3']
0.0,0.0,,,,,0.0,0.0,,,,,C1CN2CCN1CC2,['280-57-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1CNCCN1,['110-85-0']
1.0,,1.0,,,,,,,,,,C1CO1,['75-21-8']
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C1COC1,['503-30-0']
1.0,,,,,,,,,,,,C1COCC2(C1)CO2,['185-75-1']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1COCCN1,['110-91-8']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1COCCO1,['123-91-1']
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,C1COCCOCCOCCO1,['294-93-9']
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,C1COCCOCCOCCOCCO1,['33100-27-5']
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,C1COCCOCCOCCOCCOCCO1,['17455-13-9']
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,C1COCCOCCOCCOCCOCCOCCO1,['33089-36-0']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1COCO1,['646-06-0']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1COCOC1,['505-22-6']
1.0,1.0,,,,,0.0,0.0,,,,,C1CS1,['420-12-2']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1CSCCO1,['15980-15-1']
,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,C1CSCCS1,['505-29-3']
1.0,,,,,,,,,,,,C1CSCN1,['504-78-9']
1.0,1.0,,,,,1.0,0.0,,,,,C1CSCSC1,['505-23-7']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C1N2CN3CN1CN(C2)C3,['100-97-0']
1.0,,1.0,1.0,,,,0.0,0.0,0.0,1.0,,C1OC1C1CO1,"['564-00-1', '1464-53-5', '298-18-0']"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C1OCOCO1,['110-88-3']
